City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Tottori,JP,35.5,134.2333,76.64,79,21,4.47,few clouds
299,Kununurra,AU,-15.7667,128.7333,58.98,77,42,1.14,scattered clouds
300,Byron Bay,AU,-28.65,153.6167,50.88,88,23,7.34,few clouds
301,Santa Fe,AR,-31.6333,-60.7,74.01,35,88,5.99,overcast clouds
302,Sangar,RU,63.9242,127.4739,59.16,68,6,3.06,clear sky
303,Songkhla,TH,6.8333,100.6667,78.85,91,93,3.74,overcast clouds
304,Tuatapere,NZ,-46.1333,167.6833,40.82,87,7,5.5,clear sky
305,Ilo,PE,-17.6394,-71.3375,61.66,77,90,5.75,overcast clouds
306,Chatellerault,FR,46.8,0.5333,87.57,44,0,11.99,clear sky
307,Miyako,JP,39.6367,141.9525,71.83,97,97,4.09,overcast clouds
308,Ampanihy,MG,-24.7,44.75,70.93,67,40,4.74,scattered clouds
309,Bad Freienwalde,DE,52.7873,14.0304,75.52,57,75,4.0,broken clouds
310,Cayenne,GF,4.9333,-52.3333,87.1,74,20,4.0,few clouds
311,Bull Savanna,JM,17.8868,-77.5902,85.26,61,89,12.35,overcast clouds
312,Naze,JP,28.3667,129.4833,76.51,91,100,26.71,overcast clouds
313,Cherskiy,RU,68.75,161.3,56.91,63,95,5.14,overcast clouds
314,Watsa,CD,3.0372,29.5355,68.67,90,83,1.59,light rain
315,Turtas,RU,58.9417,69.1325,66.56,87,99,5.46,overcast clouds
316,Provideniya,RU,64.3833,-173.3,42.37,81,100,2.37,overcast clouds
317,Rosetta,EG,31.4044,30.4164,84.02,76,0,15.64,clear sky
318,Roald,NO,62.5833,6.1333,61.72,76,75,8.05,broken clouds
319,Viru,PE,-8.4167,-78.75,65.5,49,8,9.95,clear sky
320,Tres Marias,MX,19.0522,-99.2431,63.46,65,93,5.01,overcast clouds
321,Port Lincoln,AU,-34.7333,135.8667,53.92,78,90,16.42,overcast clouds
322,Mulanje,MW,-16.0316,35.5,71.08,55,62,5.68,broken clouds
323,Naliya,IN,23.2667,68.8333,84.22,81,100,15.12,overcast clouds
324,Sciacca,IT,37.5082,13.0881,91.47,34,0,15.17,clear sky
325,Victor Harbor,AU,-35.5667,138.6167,47.91,95,100,3.0,overcast clouds
326,Saint George,US,37.1041,-113.5841,93.34,41,1,1.01,clear sky
327,Shu,KZ,43.5983,73.7614,74.23,53,51,7.27,broken clouds
328,Taoudenni,ML,22.6783,-3.9836,116.46,8,36,15.55,scattered clouds
329,Varkkallai,IN,8.7341,76.7067,82.18,87,100,14.14,light rain
330,San Cristobal,VE,7.7669,-72.225,80.78,90,99,6.04,overcast clouds
331,Gizo,SB,-8.103,156.8419,80.69,80,44,4.92,scattered clouds
332,Albert Lea,US,43.648,-93.3683,82.62,65,1,9.22,clear sky
333,Asau,RO,46.4333,26.4,70.72,55,65,4.32,broken clouds
334,Hualmay,PE,-11.0964,-77.6139,68.27,69,32,10.87,scattered clouds
335,Rozhnyativ,UA,48.9358,24.1638,70.59,86,54,3.56,broken clouds
336,Grafton,US,42.207,-71.6856,80.76,57,7,1.99,clear sky
337,Weihai,CN,37.5017,122.1136,75.69,85,98,4.76,overcast clouds
338,Fomboni,KM,-12.28,43.7425,77.2,72,4,14.56,clear sky
339,Fairbanks,US,64.8378,-147.7164,64.09,71,75,0.0,broken clouds
340,Somerset,US,40.5668,-74.5496,82.69,52,77,1.99,broken clouds
341,Teeli,RU,51.0333,90.2333,66.38,74,100,2.66,overcast clouds
